Linux 5.15.30-2-pve (zoo-003) 	06/29/2023 	_x86_64_	(64 CPU)

05:34:46 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:34:47 AM  1011   3650039         -  177.03   45.95    0.00    0.00  222.97    41  deptran_server
05:34:47 AM  1011         -   3650040   60.81   12.16    0.00    0.00   72.97    46  |__deptran_server
05:34:47 AM  1011         -   3650042   52.70   10.14    0.00    0.00   62.84    37  |__deptran_server
05:34:47 AM  1011         -   3650050    0.68    0.00    0.00    0.00    0.68    37  |__deptran_server
05:34:47 AM  1011         -   3650051    0.68    2.70    0.00    0.00    3.38     9  |__deptran_server
05:34:47 AM  1011         -   3650053    1.35    1.35    0.00    0.00    2.70     7  |__deptran_server
05:34:47 AM  1011         -   3650055    0.68    0.68    0.00    0.00    1.35    45  |__deptran_server

05:34:47 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:34:48 AM  1011   3650039         -   13.00   24.00    0.00    0.00   37.00    41  deptran_server
05:34:48 AM  1011         -   3650050    2.00    0.00    0.00    0.00    2.00    45  |__deptran_server
05:34:48 AM  1011         -   3650051    5.00    4.00    0.00    0.00    9.00     9  |__deptran_server
05:34:48 AM  1011         -   3650052    1.00    2.00    0.00    0.00    3.00    37  |__deptran_server
05:34:48 AM  1011         -   3650053    3.00    5.00    0.00    0.00    8.00     7  |__deptran_server
05:34:48 AM  1011         -   3650054    1.00    1.00    0.00    0.00    2.00    36  |__deptran_server
05:34:48 AM  1011         -   3650055    5.00    6.00    0.00    0.00   11.00    34  |__deptran_server

05:34:48 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:34:49 AM  1011   3650039         -  137.00  110.00    0.00    0.00  247.00    41  deptran_server
05:34:49 AM  1011         -   3650050    7.00    4.00    0.00    0.00   11.00    43  |__deptran_server
05:34:49 AM  1011         -   3650051    5.00   10.00    0.00    0.00   15.00    57  |__deptran_server
05:34:49 AM  1011         -   3650052   18.00    7.00    0.00    0.00   25.00    37  |__deptran_server
05:34:49 AM  1011         -   3650053    7.00    9.00    0.00    0.00   16.00    47  |__deptran_server
05:34:49 AM  1011         -   3650054    7.00    3.00    0.00    0.00   10.00    38  |__deptran_server
