Linux 5.15.30-2-pve (zoo-003) 	07/05/2023 	_x86_64_	(64 CPU)

03:26:20 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:26:22 PM  1011   1227558         -  257.14   61.90    0.00    0.00  319.05    42  deptran_server
03:26:22 PM  1011         -   1227558    0.68    0.68    0.00    0.00    1.36    42  |__deptran_server
03:26:22 PM  1011         -   1227560   82.99   21.09    0.00    0.00  104.08    14  |__deptran_server
03:26:22 PM  1011         -   1227561   86.39   17.01    0.00    0.00  103.40    21  |__deptran_server

03:26:22 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:26:23 PM  1011   1227558         -   29.00   13.00    0.00    0.00   42.00    42  deptran_server
03:26:23 PM  1011         -   1227562    1.00    2.00    0.00    0.00    3.00    22  |__deptran_server
03:26:23 PM  1011         -   1227563    4.00    7.00    0.00    0.00   11.00    25  |__deptran_server
03:26:23 PM  1011         -   1227564    2.00    0.00    0.00    0.00    2.00    14  |__deptran_server
03:26:23 PM  1011         -   1227565    3.00    8.00    0.00    0.00   11.00     3  |__deptran_server
03:26:23 PM  1011         -   1227567    2.00    1.00    0.00    0.00    3.00    15  |__deptran_server
03:26:23 PM  1011         -   1227568    3.00    7.00    0.00    0.00   10.00     0  |__deptran_server

03:26:23 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:26:24 PM  1011   1227558         -  116.00  116.00    0.00    0.00  232.00    23  deptran_server
03:26:24 PM  1011         -   1227558    0.00    3.00    0.00    0.00    3.00    23  |__deptran_server
03:26:24 PM  1011         -   1227562    6.00    1.00    0.00    0.00    7.00    22  |__deptran_server
03:26:24 PM  1011         -   1227563    4.00    7.00    0.00    0.00   11.00    57  |__deptran_server
03:26:24 PM  1011         -   1227564    6.00    1.00    0.00    0.00    7.00    41  |__deptran_server
03:26:24 PM  1011         -   1227565    6.00    6.00    0.00    0.00   12.00     1  |__deptran_server
03:26:24 PM  1011         -   1227567   11.00    3.00    0.00    0.00   14.00    15  |__deptran_server
03:26:24 PM  1011         -   1227568    5.00    8.00    0.00    0.00   13.00    16  |__deptran_server
03:26:24 PM  1011         -   1227572    2.00    3.00    0.00    0.00    5.00    45  |__deptran_server
03:26:24 PM  1011         -   1227574    3.00    3.00    0.00    0.00    6.00    43  |__deptran_server
03:26:24 PM  1011         -   1227576    2.00    3.00    0.00    0.00    5.00    43  |__deptran_server
03:26:24 PM  1011         -   1227578    1.00    4.00    0.00    0.00    5.00    12  |__deptran_server
03:26:24 PM  1011         -   1227580    4.00    2.00    0.00    0.00    6.00    44  |__deptran_server
03:26:24 PM  1011         -   1227582    1.00    4.00    0.00    0.00    5.00    14  |__deptran_server
03:26:24 PM  1011         -   1227584    3.00    3.00    0.00    0.00    6.00     8  |__deptran_server
03:26:24 PM  1011         -   1227586    3.00    3.00    0.00    0.00    6.00    13  |__deptran_server
03:26:24 PM  1011         -   1227588    4.00    2.00    0.00    0.00    6.00    40  |__deptran_server
03:26:24 PM  1011         -   1227590    2.00    3.00    0.00    0.00    5.00    12  |__deptran_server
03:26:24 PM  1011         -   1227592    2.00    2.00    0.00    0.00    4.00    24  |__deptran_server
03:26:24 PM  1011         -   1227594    2.00    3.00    0.00    0.00    5.00    11  |__deptran_server
03:26:24 PM  1011         -   1227596    1.00    3.00    0.00    0.00    4.00     0  |__deptran_server
03:26:24 PM  1011         -   1227598    2.00    2.00    0.00    0.00    4.00    32  |__deptran_server
03:26:24 PM  1011         -   1227600    3.00    2.00    0.00    0.00    5.00    21  |__deptran_server
03:26:24 PM  1011         -   1227602    2.00    2.00    0.00    0.00    4.00    42  |__deptran_server
03:26:24 PM  1011         -   1227604    2.00    1.00    0.00    0.00    3.00     3  |__deptran_server
03:26:24 PM  1011         -   1227606    2.00    2.00    0.00    0.00    4.00    23  |__deptran_server
03:26:24 PM  1011         -   1227608    2.00    2.00    0.00    0.00    4.00     9  |__deptran_server
03:26:24 PM  1011         -   1227610    1.00    3.00    0.00    0.00    4.00    46  |__deptran_server
03:26:24 PM  1011         -   1227612    1.00    3.00    0.00    0.00    4.00    13  |__deptran_server
03:26:24 PM  1011         -   1227614    1.00    1.00    0.00    0.00    2.00     5  |__deptran_server
03:26:24 PM  1011         -   1227616    2.00    2.00    0.00    0.00    4.00     5  |__deptran_server
03:26:24 PM  1011         -   1227618    2.00    2.00    0.00    0.00    4.00    28  |__deptran_server
03:26:24 PM  1011         -   1227620    1.00    3.00    0.00    0.00    4.00    17  |__deptran_server
03:26:24 PM  1011         -   1227622    0.00    2.00    0.00    0.00    2.00    23  |__deptran_server
03:26:24 PM  1011         -   1227624    2.00    2.00    0.00    0.00    4.00    30  |__deptran_server
03:26:24 PM  1011         -   1227626    0.00    2.00    0.00    0.00    2.00    63  |__deptran_server

03:26:24 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:26:25 PM  1011   1227558         -   85.00   81.00    0.00    0.00  166.00    48  deptran_server
03:26:25 PM  1011         -   1227558    1.00    1.00    0.00    0.00    2.00    48  |__deptran_server
03:26:25 PM  1011         -   1227562    4.00    2.00    0.00    0.00    6.00    22  |__deptran_server
03:26:25 PM  1011         -   1227563    5.00    7.00    0.00    0.00   12.00    58  |__deptran_server
03:26:25 PM  1011         -   1227564    4.00    2.00    0.00    0.00    6.00    34  |__deptran_server
03:26:25 PM  1011         -   1227565    2.00    9.00    0.00    0.00   11.00    32  |__deptran_server
03:26:25 PM  1011         -   1227567    6.00    3.00    0.00    0.00    9.00    15  |__deptran_server
03:26:25 PM  1011         -   1227568    8.00    5.00    0.00    0.00   13.00    16  |__deptran_server
03:26:25 PM  1011         -   1227572    2.00    0.00    0.00    0.00    2.00    62  |__deptran_server
03:26:25 PM  1011         -   1227574    0.00    1.00    0.00    0.00    1.00    51  |__deptran_server
03:26:25 PM  1011         -   1227576    1.00    2.00    0.00    0.00    3.00    26  |__deptran_server
03:26:25 PM  1011         -   1227578    1.00    1.00    0.00    0.00    2.00    12  |__deptran_server
03:26:25 PM  1011         -   1227580    0.00    1.00    0.00    0.00    1.00    31  |__deptran_server
03:26:25 PM  1011         -   1227582    1.00    1.00    0.00    0.00    2.00    49  |__deptran_server
03:26:25 PM  1011         -   1227584    1.00    1.00    0.00    0.00    2.00    53  |__deptran_server
03:26:25 PM  1011         -   1227586    1.00    0.00    0.00    0.00    1.00    49  |__deptran_server
03:26:25 PM  1011         -   1227588    1.00    0.00    0.00    0.00    1.00    55  |__deptran_server
03:26:25 PM  1011         -   1227590    1.00    1.00    0.00    0.00    2.00    25  |__deptran_server
03:26:25 PM  1011         -   1227592    2.00    1.00    0.00    0.00    3.00    25  |__deptran_server
03:26:25 PM  1011         -   1227594    0.00    1.00    0.00    0.00    1.00    19  |__deptran_server
03:26:25 PM  1011         -   1227596    1.00    1.00    0.00    0.00    2.00    31  |__deptran_server
03:26:25 PM  1011         -   1227598    1.00    1.00    0.00    0.00    2.00    49  |__deptran_server
03:26:25 PM  1011         -   1227600    0.00    1.00    0.00    0.00    1.00    21  |__deptran_server
03:26:25 PM  1011         -   1227602    0.00    1.00    0.00    0.00    1.00    48  |__deptran_server
03:26:25 PM  1011         -   1227604    0.00    2.00    0.00    0.00    2.00    27  |__deptran_server
03:26:25 PM  1011         -   1227606    0.00    1.00    0.00    0.00    1.00    55  |__deptran_server
03:26:25 PM  1011         -   1227608    1.00    0.00    0.00    0.00    1.00    22  |__deptran_server
03:26:25 PM  1011         -   1227610    1.00    0.00    0.00    0.00    1.00    51  |__deptran_server
03:26:25 PM  1011         -   1227612    2.00    0.00    0.00    0.00    2.00    29  |__deptran_server
03:26:25 PM  1011         -   1227614    2.00    1.00    0.00    0.00    3.00    45  |__deptran_server
03:26:25 PM  1011         -   1227616    0.00    1.00    0.00    0.00    1.00    54  |__deptran_server
03:26:25 PM  1011         -   1227618    1.00    0.00    0.00    0.00    1.00    50  |__deptran_server
03:26:25 PM  1011         -   1227620    1.00    0.00    0.00    0.00    1.00    10  |__deptran_server
03:26:25 PM  1011         -   1227622    1.00    2.00    0.00    0.00    3.00    52  |__deptran_server
03:26:25 PM  1011         -   1227624    1.00    0.00    0.00    0.00    1.00    30  |__deptran_server
03:26:25 PM  1011         -   1227626    2.00    1.00    0.00    0.00    3.00    23  |__deptran_server
03:26:25 PM  1011         -   1227628    2.00    3.00    0.00    0.00    5.00    27  |__deptran_server
03:26:25 PM  1011         -   1227630    2.00    1.00    0.00    0.00    3.00    59  |__deptran_server
03:26:25 PM  1011         -   1227632    1.00    2.00    0.00    0.00    3.00    34  |__deptran_server
03:26:25 PM  1011         -   1227634    1.00    3.00    0.00    0.00    4.00    11  |__deptran_server
03:26:25 PM  1011         -   1227636    2.00    2.00    0.00    0.00    4.00    55  |__deptran_server
03:26:25 PM  1011         -   1227638    3.00    1.00    0.00    0.00    4.00    56  |__deptran_server
03:26:25 PM  1011         -   1227640    2.00    1.00    0.00    0.00    3.00    36  |__deptran_server
03:26:25 PM  1011         -   1227642    4.00    0.00    0.00    0.00    4.00    13  |__deptran_server
03:26:25 PM  1011         -   1227644    1.00    3.00    0.00    0.00    4.00    44  |__deptran_server
03:26:25 PM  1011         -   1227646    2.00    2.00    0.00    0.00    4.00    26  |__deptran_server
03:26:25 PM  1011         -   1227648    1.00    0.00    0.00    0.00    1.00    56  |__deptran_server
03:26:25 PM  1011         -   1227650    1.00    2.00    0.00    0.00    3.00    61  |__deptran_server
03:26:25 PM  1011         -   1227652    0.00    1.00    0.00    0.00    1.00    24  |__deptran_server
03:26:25 PM  1011         -   1227654    0.00    1.00    0.00    0.00    1.00    48  |__deptran_server
03:26:25 PM  1011         -   1227656    0.00    1.00    0.00    0.00    1.00    50  |__deptran_server

03:26:25 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:26:26 PM  1011   1227558         -   98.00   72.00    0.00    0.00  170.00     2  deptran_server
03:26:26 PM  1011         -   1227558    0.00    1.00    0.00    0.00    1.00     2  |__deptran_server
03:26:26 PM  1011         -   1227562    6.00    2.00    0.00    0.00    8.00    25  |__deptran_server
03:26:26 PM  1011         -   1227563   11.00    2.00    0.00    0.00   13.00    59  |__deptran_server
03:26:26 PM  1011         -   1227564    7.00    1.00    0.00    0.00    8.00    37  |__deptran_server
03:26:26 PM  1011         -   1227565    6.00    6.00    0.00    0.00   12.00    32  |__deptran_server
03:26:26 PM  1011         -   1227567   10.00    3.00    0.00    0.00   13.00     7  |__deptran_server
03:26:26 PM  1011         -   1227568    2.00    9.00    0.00    0.00   11.00    16  |__deptran_server
03:26:26 PM  1011         -   1227572    0.00    1.00    0.00    0.00    1.00    63  |__deptran_server
03:26:26 PM  1011         -   1227574    0.00    1.00    0.00    0.00    1.00    55  |__deptran_server
03:26:26 PM  1011         -   1227580    1.00    0.00    0.00    0.00    1.00    23  |__deptran_server
03:26:26 PM  1011         -   1227586    0.00    1.00    0.00    0.00    1.00    35  |__deptran_server
03:26:26 PM  1011         -   1227588    0.00    1.00    0.00    0.00    1.00    46  |__deptran_server
03:26:26 PM  1011         -   1227592    1.00    0.00    0.00    0.00    1.00    26  |__deptran_server
