I [../src/deptran/s_main.cc:136] 2023-07-20 15:53:05.819 | PWD : 
I [../src/deptran/s_main.cc:284] 2023-07-20 15:53:05.819 | starting process 2204130
I [../src/deptran/s_main.cc:279] 2023-07-20 15:53:05.819 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2023-07-20 15:53:05.819 | LoadYML: depfast-ae/config/none_fpga_raft.yml
I [../src/deptran/config.cc:285] 2023-07-20 15:53:05.820 | LoadYML: depfast-ae/config/5c1s5r1p.yml
I [../src/deptran/config.cc:404] 2023-07-20 15:53:05.821 | BuildSiteProcMap
I [../src/deptran/config.cc:408] 2023-07-20 15:53:05.821 | BuildSiteProcMap site name s101
I [../src/deptran/config.cc:409] 2023-07-20 15:53:05.821 | BuildSiteProcMap proc name localhost
I [../src/deptran/config.cc:408] 2023-07-20 15:53:05.821 | BuildSiteProcMap site name s201
I [../src/deptran/config.cc:409] 2023-07-20 15:53:05.821 | BuildSiteProcMap proc name localhost
I [../src/deptran/config.cc:408] 2023-07-20 15:53:05.821 | BuildSiteProcMap site name s301
I [../src/deptran/config.cc:409] 2023-07-20 15:53:05.821 | BuildSiteProcMap proc name localhost
I [../src/deptran/config.cc:408] 2023-07-20 15:53:05.821 | BuildSiteProcMap site name s401
I [../src/deptran/config.cc:409] 2023-07-20 15:53:05.821 | BuildSiteProcMap proc name localhost
I [../src/deptran/config.cc:408] 2023-07-20 15:53:05.821 | BuildSiteProcMap site name s501
I [../src/deptran/config.cc:409] 2023-07-20 15:53:05.821 | BuildSiteProcMap proc name localhost
I [../src/deptran/config.cc:408] 2023-07-20 15:53:05.821 | BuildSiteProcMap site name c101
I [../src/deptran/config.cc:409] 2023-07-20 15:53:05.821 | BuildSiteProcMap proc name localhost
I [../src/deptran/config.cc:408] 2023-07-20 15:53:05.821 | BuildSiteProcMap site name c201
I [../src/deptran/config.cc:409] 2023-07-20 15:53:05.821 | BuildSiteProcMap proc name localhost
I [../src/deptran/config.cc:408] 2023-07-20 15:53:05.821 | BuildSiteProcMap site name c301
I [../src/deptran/config.cc:409] 2023-07-20 15:53:05.821 | BuildSiteProcMap proc name localhost
I [../src/deptran/config.cc:408] 2023-07-20 15:53:05.821 | BuildSiteProcMap site name c401
I [../src/deptran/config.cc:409] 2023-07-20 15:53:05.821 | BuildSiteProcMap proc name localhost
I [../src/deptran/config.cc:408] 2023-07-20 15:53:05.821 | BuildSiteProcMap site name c501
I [../src/deptran/config.cc:409] 2023-07-20 15:53:05.821 | BuildSiteProcMap proc name localhost
I [../src/deptran/config.cc:421] 2023-07-20 15:53:05.822 | loading proc name localhost
I [../src/deptran/config.cc:421] 2023-07-20 15:53:05.822 | loading proc name localhost
I [../src/deptran/config.cc:421] 2023-07-20 15:53:05.823 | loading proc name localhost
I [../src/deptran/config.cc:421] 2023-07-20 15:53:05.823 | loading proc name localhost
I [../src/deptran/config.cc:421] 2023-07-20 15:53:05.823 | loading proc name localhost
I [../src/deptran/config.cc:421] 2023-07-20 15:53:05.823 | loading proc name localhost
I [../src/deptran/config.cc:421] 2023-07-20 15:53:05.823 | loading proc name localhost
I [../src/deptran/config.cc:421] 2023-07-20 15:53:05.823 | loading proc name localhost
I [../src/deptran/config.cc:421] 2023-07-20 15:53:05.823 | loading proc name localhost
I [../src/deptran/config.cc:421] 2023-07-20 15:53:05.823 | loading proc name localhost
I [../src/deptran/config.cc:285] 2023-07-20 15:53:05.823 | LoadYML: depfast-ae/config/rw.yml
I [../src/deptran/config.cc:661] 2023-07-20 15:53:05.824 | group size: 1
I [../src/deptran/config.cc:285] 2023-07-20 15:53:05.824 | LoadYML: depfast-ae/config/concurrent_3200.yml
I [../src/deptran/config.cc:321] 2023-07-20 15:53:05.825 | # of concurrent requests: 3200
I [../src/deptran/s_main.cc:290] 2023-07-20 15:53:05.825 | Read config finish
I [../src/deptran/config.cc:909] 2023-07-20 15:53:05.825 | proc name is: localhost
I [../src/deptran/config.cc:910] 2023-07-20 15:53:05.825 | the size of the searching vector is:5 
I [../src/deptran/config.cc:913] 2023-07-20 15:53:05.825 | current site.proc_name is: localhost
I [../src/deptran/config.cc:919] 2023-07-20 15:53:05.825 | one result pushed to result in SitesByProcessName
I [../src/deptran/config.cc:913] 2023-07-20 15:53:05.825 | current site.proc_name is: localhost
I [../src/deptran/config.cc:919] 2023-07-20 15:53:05.825 | one result pushed to result in SitesByProcessName
I [../src/deptran/config.cc:913] 2023-07-20 15:53:05.826 | current site.proc_name is: localhost
I [../src/deptran/config.cc:919] 2023-07-20 15:53:05.826 | one result pushed to result in SitesByProcessName
I [../src/deptran/config.cc:913] 2023-07-20 15:53:05.826 | current site.proc_name is: localhost
I [../src/deptran/config.cc:919] 2023-07-20 15:53:05.826 | one result pushed to result in SitesByProcessName
I [../src/deptran/config.cc:913] 2023-07-20 15:53:05.826 | current site.proc_name is: localhost
I [../src/deptran/config.cc:919] 2023-07-20 15:53:05.826 | one result pushed to result in SitesByProcessName
I [../src/deptran/s_main.cc:30] 2023-07-20 15:53:05.826 | client_setup_heartbeat
I [../src/deptran/config.cc:909] 2023-07-20 15:53:05.826 | proc name is: localhost
I [../src/deptran/config.cc:910] 2023-07-20 15:53:05.827 | the size of the searching vector is:5 
I [../src/deptran/config.cc:913] 2023-07-20 15:53:05.827 | current site.proc_name is: localhost
I [../src/deptran/config.cc:919] 2023-07-20 15:53:05.827 | one result pushed to result in SitesByProcessName
I [../src/deptran/config.cc:913] 2023-07-20 15:53:05.827 | current site.proc_name is: localhost
I [../src/deptran/config.cc:919] 2023-07-20 15:53:05.827 | one result pushed to result in SitesByProcessName
I [../src/deptran/config.cc:913] 2023-07-20 15:53:05.827 | current site.proc_name is: localhost
I [../src/deptran/config.cc:919] 2023-07-20 15:53:05.827 | one result pushed to result in SitesByProcessName
I [../src/deptran/config.cc:913] 2023-07-20 15:53:05.827 | current site.proc_name is: localhost
I [../src/deptran/config.cc:919] 2023-07-20 15:53:05.827 | one result pushed to result in SitesByProcessName
I [../src/deptran/config.cc:913] 2023-07-20 15:53:05.827 | current site.proc_name is: localhost
I [../src/deptran/config.cc:919] 2023-07-20 15:53:05.827 | one result pushed to result in SitesByProcessName
I [../src/deptran/s_main.cc:75] 2023-07-20 15:53:05.827 | server enabled, number of sites: 5
I [../src/deptran/s_main.cc:81] 2023-07-20 15:53:05.828 | launching site: 0, bind address 0.0.0.0:9130
I [../src/deptran/s_main.cc:81] 2023-07-20 15:53:05.828 | launching site: 1, bind address 0.0.0.0:9131
I [../src/deptran/s_main.cc:81] 2023-07-20 15:53:05.828 | launching site: 2, bind address 0.0.0.0:9132
I [../src/deptran/s_main.cc:81] 2023-07-20 15:53:05.828 | launching site: 4, bind address 0.0.0.0:9134
I [../src/deptran/server_worker.cc:81] 2023-07-20 15:53:05.828 | start data population for site 0
I [../src/deptran/server_worker.cc:81] 2023-07-20 15:53:05.828 | start data population for site 1
I [../src/deptran/server_worker.cc:81] 2023-07-20 15:53:05.829 | start data population for site 2
I [../src/deptran/s_main.cc:81] 2023-07-20 15:53:05.828 | launching site: 3, bind address 0.0.0.0:9133
I [../src/deptran/server_worker.cc:81] 2023-07-20 15:53:05.830 | start data population for site 4
I [../src/deptran/server_worker.cc:81] 2023-07-20 15:53:05.832 | start data population for site 3
I [../src/deptran/server_worker.cc:108] 2023-07-20 15:53:07.320 | data populated for site: 2, partition: 0
I [../src/deptran/s_main.cc:91] 2023-07-20 15:53:07.320 | table popped for site 2
I [../src/deptran/server_worker.cc:123] 2023-07-20 15:53:07.320 | enter SetupService for s301 @ 0.0.0.0:9132
I [../src/rrr/rpc/server.cpp:575] 2023-07-20 15:53:07.321 | bind address is: 0.0.0.0:9132
I [../src/rrr/reactor/reactor.cc:385] 2023-07-20 15:53:07.321 | starting disk thread
I [../src/rrr/rpc/server.cpp:570] 2023-07-20 15:53:07.322 | rrr::Server: started on 0.0.0.0:9132
I [../src/rrr/reactor/reactor.cc:389] 2023-07-20 15:53:07.322 | starting poll thread
I [../src/deptran/server_worker.cc:177] 2023-07-20 15:53:07.322 | Server s301 ready at 0.0.0.0:9132
I [../src/deptran/s_main.cc:97] 2023-07-20 15:53:07.323 | start communication for site 2
I [../src/deptran/communicator.cc:25] 2023-07-20 15:53:07.324 | size of partitions: 1
I [../src/deptran/server_worker.cc:108] 2023-07-20 15:53:07.337 | data populated for site: 0, partition: 0
I [../src/deptran/s_main.cc:91] 2023-07-20 15:53:07.337 | table popped for site 0
I [../src/deptran/server_worker.cc:123] 2023-07-20 15:53:07.338 | enter SetupService for s101 @ 0.0.0.0:9130
I [../src/rrr/rpc/server.cpp:575] 2023-07-20 15:53:07.338 | bind address is: 0.0.0.0:9130
I [../src/rrr/rpc/server.cpp:570] 2023-07-20 15:53:07.338 | rrr::Server: started on 0.0.0.0:9130
I [../src/deptran/server_worker.cc:177] 2023-07-20 15:53:07.338 | Server s101 ready at 0.0.0.0:9130
I [../src/deptran/s_main.cc:97] 2023-07-20 15:53:07.338 | start communication for site 0
I [../src/deptran/communicator.cc:25] 2023-07-20 15:53:07.338 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:385] 2023-07-20 15:53:07.338 | starting disk thread
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:07.338 | ==== connect to site: 127.0.0.1:9130 success!
I [../src/rrr/reactor/reactor.cc:389] 2023-07-20 15:53:07.339 | starting poll thread
I [../src/deptran/server_worker.cc:108] 2023-07-20 15:53:07.346 | data populated for site: 4, partition: 0
I [../src/deptran/s_main.cc:91] 2023-07-20 15:53:07.346 | table popped for site 4
I [../src/deptran/server_worker.cc:123] 2023-07-20 15:53:07.346 | enter SetupService for s501 @ 0.0.0.0:9134
I [../src/rrr/rpc/server.cpp:575] 2023-07-20 15:53:07.347 | bind address is: 0.0.0.0:9134
I [../src/rrr/rpc/server.cpp:570] 2023-07-20 15:53:07.347 | rrr::Server: started on 0.0.0.0:9134
I [../src/deptran/server_worker.cc:177] 2023-07-20 15:53:07.347 | Server s501 ready at 0.0.0.0:9134
I [../src/deptran/s_main.cc:97] 2023-07-20 15:53:07.347 | start communication for site 4
I [../src/deptran/communicator.cc:25] 2023-07-20 15:53:07.347 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:385] 2023-07-20 15:53:07.347 | starting disk thread
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:07.347 | ==== connect to site: 127.0.0.1:9130 success!
I [../src/rrr/reactor/reactor.cc:389] 2023-07-20 15:53:07.347 | starting poll thread
I [../src/deptran/server_worker.cc:108] 2023-07-20 15:53:07.355 | data populated for site: 3, partition: 0
I [../src/deptran/s_main.cc:91] 2023-07-20 15:53:07.355 | table popped for site 3
I [../src/deptran/server_worker.cc:123] 2023-07-20 15:53:07.355 | enter SetupService for s401 @ 0.0.0.0:9133
I [../src/rrr/rpc/server.cpp:575] 2023-07-20 15:53:07.355 | bind address is: 0.0.0.0:9133
I [../src/rrr/rpc/server.cpp:570] 2023-07-20 15:53:07.355 | rrr::Server: started on 0.0.0.0:9133
I [../src/deptran/server_worker.cc:177] 2023-07-20 15:53:07.355 | Server s401 ready at 0.0.0.0:9133
I [../src/deptran/s_main.cc:97] 2023-07-20 15:53:07.355 | start communication for site 3
I [../src/rrr/reactor/reactor.cc:385] 2023-07-20 15:53:07.355 | starting disk thread
I [../src/deptran/communicator.cc:25] 2023-07-20 15:53:07.356 | size of partitions: 1
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:07.356 | ==== connect to site: 127.0.0.1:9130 success!
I [../src/rrr/reactor/reactor.cc:389] 2023-07-20 15:53:07.356 | starting poll thread
I [../src/deptran/server_worker.cc:108] 2023-07-20 15:53:07.438 | data populated for site: 1, partition: 0
I [../src/deptran/s_main.cc:91] 2023-07-20 15:53:07.438 | table popped for site 1
I [../src/deptran/server_worker.cc:123] 2023-07-20 15:53:07.438 | enter SetupService for s201 @ 0.0.0.0:9131
I [../src/rrr/rpc/server.cpp:575] 2023-07-20 15:53:07.438 | bind address is: 0.0.0.0:9131
I [../src/rrr/rpc/server.cpp:570] 2023-07-20 15:53:07.438 | rrr::Server: started on 0.0.0.0:9131
I [../src/deptran/server_worker.cc:177] 2023-07-20 15:53:07.438 | Server s201 ready at 0.0.0.0:9131
I [../src/deptran/s_main.cc:97] 2023-07-20 15:53:07.438 | start communication for site 1
I [../src/deptran/communicator.cc:25] 2023-07-20 15:53:07.438 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:385] 2023-07-20 15:53:07.439 | starting disk thread
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:07.439 | ==== connect to site: 127.0.0.1:9130 success!
I [../src/rrr/reactor/reactor.cc:389] 2023-07-20 15:53:07.439 | starting poll thread
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:07.440 | ==== connect to site: 127.0.0.1:9131 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:07.440 | ==== connect to site: 127.0.0.1:9132 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:07.441 | ==== connect to site: 127.0.0.1:9133 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:07.441 | ==== connect to site: 127.0.0.1:9134 success!
I [../src/deptran/communicator.cc:25] 2023-07-20 15:53:07.442 | size of partitions: 1
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:07.442 | ==== connect to site: 127.0.0.1:9130 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:07.442 | ==== connect to site: 127.0.0.1:9131 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:07.443 | ==== connect to site: 127.0.0.1:9132 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:07.444 | ==== connect to site: 127.0.0.1:9133 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:07.444 | ==== connect to site: 127.0.0.1:9134 success!
I [../src/deptran/s_main.cc:99] 2023-07-20 15:53:07.445 | site 1 launched!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.324 | ==== connect to site: 127.0.0.1:9130 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.324 | ==== connect to site: 127.0.0.1:9131 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.325 | ==== connect to site: 127.0.0.1:9132 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.325 | ==== connect to site: 127.0.0.1:9133 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.326 | ==== connect to site: 127.0.0.1:9134 success!
I [../src/deptran/communicator.cc:25] 2023-07-20 15:53:08.327 | size of partitions: 1
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.327 | ==== connect to site: 127.0.0.1:9130 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.328 | ==== connect to site: 127.0.0.1:9131 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.328 | ==== connect to site: 127.0.0.1:9132 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.329 | ==== connect to site: 127.0.0.1:9133 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.330 | ==== connect to site: 127.0.0.1:9134 success!
I [../src/deptran/s_main.cc:99] 2023-07-20 15:53:08.331 | site 2 launched!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.339 | ==== connect to site: 127.0.0.1:9131 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.340 | ==== connect to site: 127.0.0.1:9132 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.340 | ==== connect to site: 127.0.0.1:9133 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.364 | ==== connect to site: 127.0.0.1:9134 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.364 | ==== connect to site: 127.0.0.1:9131 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.364 | ==== connect to site: 127.0.0.1:9131 success!
I [../src/deptran/communicator.cc:25] 2023-07-20 15:53:08.364 | size of partitions: 1
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.364 | ==== connect to site: 127.0.0.1:9132 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.364 | ==== connect to site: 127.0.0.1:9130 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.364 | ==== connect to site: 127.0.0.1:9132 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.365 | ==== connect to site: 127.0.0.1:9131 success!I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.365 | ==== connect to site: 127.0.0.1:9133 success!

I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.365 | ==== connect to site: 127.0.0.1:9133 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.366 | ==== connect to site: 127.0.0.1:9132 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.366 | ==== connect to site: 127.0.0.1:9134 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.367 | ==== connect to site: 127.0.0.1:9134 success!
I [../src/deptran/communicator.cc:25] 2023-07-20 15:53:08.367 | size of partitions: 1
I [../src/deptran/communicator.cc:25] 2023-07-20 15:53:08.367 | size of partitions: 1
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.367 | ==== connect to site: 127.0.0.1:9133 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.368 | ==== connect to site: 127.0.0.1:9130 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.368 | ==== connect to site: 127.0.0.1:9130 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.368 | ==== connect to site: 127.0.0.1:9134 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.368 | ==== connect to site: 127.0.0.1:9131 success!I [../src/deptran/s_main.cc:99] 2023-07-20 15:53:08.369 | site 0 launched!

I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.368 | ==== connect to site: 127.0.0.1:9131 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.370 | ==== connect to site: 127.0.0.1:9132 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.370 | ==== connect to site: 127.0.0.1:9132 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.371 | ==== connect to site: 127.0.0.1:9133 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.371 | ==== connect to site: 127.0.0.1:9133 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.372 | ==== connect to site: 127.0.0.1:9134 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.372 | ==== connect to site: 127.0.0.1:9134 success!I [../src/deptran/s_main.cc:99] 2023-07-20 15:53:08.373 | site 3 launched!

I [../src/deptran/s_main.cc:99] 2023-07-20 15:53:08.373 | site 4 launched!
I [../src/deptran/s_main.cc:110] 2023-07-20 15:53:08.828 | waiting for server setup threads.
I [../src/deptran/s_main.cc:114] 2023-07-20 15:53:08.828 | done waiting for server setup threads.
I [../src/deptran/s_main.cc:121] 2023-07-20 15:53:08.828 | server workers' communicators setup
I [../src/deptran/s_main.cc:54] 2023-07-20 15:53:08.828 | client enabled, number of sites: 5
I [../src/deptran/communicator.cc:25] 2023-07-20 15:53:08.828 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2023-07-20 15:53:08.828 | starting poll thread
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.829 | ==== connect to site: 127.0.0.1:9130 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.830 | ==== connect to site: 127.0.0.1:9131 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.831 | ==== connect to site: 127.0.0.1:9132 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.832 | ==== connect to site: 127.0.0.1:9133 success!
I [../src/deptran/communicator.cc:194] 2023-07-20 15:53:08.833 | ==== connect to site: 127.0.0.1:9134 success!
I [../src/deptran/communicator.cc:25] 2023-07-20 15:53:08.834 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2023-07-20 15:53:08.834 | starting poll thread
I [../src/deptran/communicator.cc:74] 2023-07-20 15:53:08.834 | Done waiting to connect to client leaders.
