Linux 5.15.30-2-pve (zoo-003) 	07/17/2023 	_x86_64_	(64 CPU)

10:32:11 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:32:13 PM  1011    340189         -  230.52   57.03    0.00    0.00  287.55    41  deptran_server
10:32:13 PM  1011         -    340195    0.00    1.20    0.00    0.00    1.20    38  |__deptran_server
10:32:13 PM  1011         -    340196    2.01    3.21    0.00    0.00    5.22     8  |__deptran_server
10:32:13 PM  1011         -    340197    0.00    0.80    0.00    0.00    0.80     3  |__deptran_server
10:32:13 PM  1011         -    340198    2.01    2.81    0.00    0.00    4.82    43  |__deptran_server
10:32:13 PM  1011         -    340199    0.00    0.80    0.00    0.00    0.80    41  |__deptran_server
10:32:13 PM  1011         -    340200    1.61    3.21    0.00    0.00    4.82    42  |__deptran_server
10:32:13 PM  1011         -    340201    0.40    0.40    0.00    0.00    0.80     0  |__deptran_server
10:32:13 PM  1011         -    340202    1.20    3.21    0.00    0.00    4.42    32  |__deptran_server
10:32:13 PM  1011         -    340203    0.80    0.40    0.00    0.00    1.20     2  |__deptran_server
10:32:13 PM  1011         -    340204    2.41    2.41    0.00    0.00    4.82    15  |__deptran_server

10:32:13 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:32:15 PM  1011    340189         -  364.50  138.50    0.00    0.00  503.00    41  deptran_server
10:32:15 PM  1011         -    340189    0.00    0.50    0.00    0.00    0.50    41  |__deptran_server
10:32:15 PM  1011         -    340195   41.50    8.50    0.00    0.00   50.00     8  |__deptran_server
10:32:15 PM  1011         -    340196    4.00   14.00    0.00    0.00   18.00    39  |__deptran_server
10:32:15 PM  1011         -    340197   43.50   11.00    0.00    0.00   54.50    42  |__deptran_server
10:32:15 PM  1011         -    340198    8.00   10.00    0.00    0.00   18.00    43  |__deptran_server
10:32:15 PM  1011         -    340199   63.00   13.00    0.00    0.00   76.00     0  |__deptran_server
10:32:15 PM  1011         -    340200    8.50   10.00    0.00    0.50   18.50    12  |__deptran_server
10:32:15 PM  1011         -    340201   29.00   14.50    0.00    0.00   43.50    63  |__deptran_server
10:32:15 PM  1011         -    340202    8.00    9.00    0.00    0.00   17.00    44  |__deptran_server
10:32:15 PM  1011         -    340203   39.00   11.50    0.00    0.00   50.50     9  |__deptran_server
10:32:15 PM  1011         -    340204    6.00   11.50    0.00    0.00   17.50    21  |__deptran_server
10:32:15 PM  1011         -    340209   11.50    3.00    0.00    0.00   14.50    37  |__deptran_server
10:32:15 PM  1011         -    340211   12.00    2.00    0.00    0.00   14.00    32  |__deptran_server
10:32:15 PM  1011         -    340213   10.00    3.00    0.00    0.00   13.00    45  |__deptran_server
10:32:15 PM  1011         -    340215   11.50    2.50    0.00    0.00   14.00    30  |__deptran_server
10:32:15 PM  1011         -    340217   11.00    2.50    0.00    0.00   13.50     3  |__deptran_server
10:32:15 PM  1011         -    340219   10.50    2.50    0.00    0.00   13.00    41  |__deptran_server
10:32:15 PM  1011         -    340221   12.00    1.50    0.00    0.00   13.50    38  |__deptran_server
10:32:15 PM  1011         -    340223   10.50    2.00    0.00    0.00   12.50    47  |__deptran_server
10:32:15 PM  1011         -    340225   11.50    2.50    0.00    0.00   14.00    34  |__deptran_server
10:32:15 PM  1011         -    340227   11.50    2.00    0.00    0.00   13.50    46  |__deptran_server

10:32:15 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:32:17 PM  1011    340189         -  432.50   98.50    0.00    0.00  531.00    41  deptran_server
10:32:17 PM  1011         -    340195   47.50    7.50    0.00    0.00   55.00     8  |__deptran_server
10:32:17 PM  1011         -    340196    8.00    9.00    0.00    0.50   17.00    12  |__deptran_server
10:32:17 PM  1011         -    340197   52.50    5.50    0.00    0.00   58.00    42  |__deptran_server
10:32:17 PM  1011         -    340198    6.00   11.50    0.00    0.50   17.50    40  |__deptran_server
10:32:17 PM  1011         -    340199   87.50    5.00    0.00    0.00   92.50    39  |__deptran_server
10:32:17 PM  1011         -    340200    9.00   10.00    0.00    0.50   19.00    34  |__deptran_server
10:32:17 PM  1011         -    340201   36.00    8.00    0.00    0.00   44.00    31  |__deptran_server
10:32:17 PM  1011         -    340202    8.00    8.50    0.00    0.50   16.50     0  |__deptran_server
10:32:17 PM  1011         -    340203   54.50    7.00    0.00    0.00   61.50     9  |__deptran_server
10:32:17 PM  1011         -    340204    7.50   11.00    0.00    0.50   18.50    51  |__deptran_server
10:32:17 PM  1011         -    340209   10.00    2.00    0.00    0.00   12.00    38  |__deptran_server
10:32:17 PM  1011         -    340211   11.50    2.50    0.00    0.00   14.00    35  |__deptran_server
10:32:17 PM  1011         -    340213   10.50    2.00    0.00    0.00   12.50    45  |__deptran_server
10:32:17 PM  1011         -    340215   11.50    1.00    0.00    0.00   12.50    49  |__deptran_server
10:32:17 PM  1011         -    340217   12.50    2.00    0.00    0.00   14.50     3  |__deptran_server
10:32:17 PM  1011         -    340219   11.50    1.50    0.00    0.00   13.00    46  |__deptran_server
10:32:17 PM  1011         -    340221   11.50    1.50    0.00    0.00   13.00    41  |__deptran_server
10:32:17 PM  1011         -    340223   10.50    3.00    0.00    0.00   13.50    47  |__deptran_server
10:32:17 PM  1011         -    340225   11.50    1.00    0.00    0.00   12.50    11  |__deptran_server
10:32:17 PM  1011         -    340227   10.50    2.50    0.00    0.00   13.00    10  |__deptran_server


Average:      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:     1011    340189         -  334.05   94.92    0.00    0.00  428.97     -  deptran_server
Average:     1011         -    340189    0.00    0.15    0.00    0.00    0.15     -  |__deptran_server
Average:     1011         -    340195   27.43    5.39    0.00    0.00   32.82     -  |__deptran_server
Average:     1011         -    340196    4.47    8.32    0.00    0.15   12.79     -  |__deptran_server
Average:     1011         -    340197   29.58    5.39    0.00    0.00   34.98     -  |__deptran_server
Average:     1011         -    340198    5.08    7.70    0.00    0.15   12.79     -  |__deptran_server
Average:     1011         -    340199   46.38    5.86    0.00    0.00   52.23     -  |__deptran_server
Average:     1011         -    340200    6.01    7.40    0.00    0.31   13.41     -  |__deptran_server
Average:     1011         -    340201   20.18    7.09    0.00    0.00   27.27     -  |__deptran_server
Average:     1011         -    340202    5.39    6.63    0.00    0.15   12.02     -  |__deptran_server
Average:     1011         -    340203   29.12    5.86    0.00    0.00   34.98     -  |__deptran_server
Average:     1011         -    340204    5.08    7.86    0.00    0.15   12.94     -  |__deptran_server
Average:     1011         -    340209    6.63    1.54    0.00    0.00    8.17     -  |__deptran_server
Average:     1011         -    340211    7.24    1.39    0.00    0.00    8.63     -  |__deptran_server
Average:     1011         -    340213    6.32    1.54    0.00    0.00    7.86     -  |__deptran_server
Average:     1011         -    340215    7.09    1.08    0.00    0.00    8.17     -  |__deptran_server
Average:     1011         -    340217    7.24    1.39    0.00    0.00    8.63     -  |__deptran_server
Average:     1011         -    340219    6.78    1.23    0.00    0.00    8.01     -  |__deptran_server
Average:     1011         -    340221    7.24    0.92    0.00    0.00    8.17     -  |__deptran_server
Average:     1011         -    340223    6.47    1.54    0.00    0.00    8.01     -  |__deptran_server
Average:     1011         -    340225    7.09    1.08    0.00    0.00    8.17     -  |__deptran_server
Average:     1011         -    340227    6.78    1.39    0.00    0.00    8.17     -  |__deptran_server
